epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,227.389,0.75937,0.60073,0.90281,0.63054,0.74857,0.80838,0.71453,0.68002,0.505,0.86544,0.00986734,0.00986734,0.00986734
136,228.905,0.77523,0.60692,0.88724,0.71823,0.6909,0.81838,0.72774,0.68544,0.50798,0.86729,0.00986635,0.00986635,0.00986635
137,230.471,0.72363,0.60546,0.89624,0.63819,0.76494,0.81652,0.71929,0.65928,0.52725,0.86129,0.00986536,0.00986536,0.00986536
138,232.14,0.73144,0.6055,0.89499,0.60971,0.7766,0.82977,0.72842,0.68481,0.50233,0.86772,0.00986437,0.00986437,0.00986437
139,233.749,0.7722,0.6302,0.90643,0.66725,0.80317,0.83562,0.72928,0.68674,0.49896,0.8811,0.00986338,0.00986338,0.00986338
140,235.321,0.74623,0.60783,0.89781,0.66994,0.73602,0.82843,0.7213,0.69896,0.50771,0.87413,0.00986239,0.00986239,0.00986239
141,236.866,0.77,0.61754,0.93237,0.57515,0.79927,0.82457,0.71567,0.73667,0.51538,0.8907,0.0098614,0.0098614,0.0098614
142,238.459,0.72626,0.60581,0.91832,0.6298,0.73351,0.80408,0.69032,0.7238,0.524,0.88391,0.00986041,0.00986041,0.00986041
143,240.029,0.74427,0.63149,0.89427,0.62622,0.74365,0.81868,0.72728,0.65587,0.50812,0.85901,0.00985942,0.00985942,0.00985942
144,241.575,0.76204,0.61905,0.89225,0.60292,0.77951,0.81117,0.7064,0.68109,0.50555,0.87554,0.00985843,0.00985843,0.00985843
145,243.116,0.7529,0.60064,0.89184,0.62527,0.77072,0.81388,0.7077,0.67496,0.51015,0.87316,0.00985744,0.00985744,0.00985744
146,244.691,0.73272,0.60163,0.89487,0.66344,0.74628,0.82741,0.7372,0.65687,0.49677,0.86273,0.00985645,0.00985645,0.00985645
